Store,Days,Date, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,
1,"26, Oct, 12","Friday, 26 October 2012"," $1,493,660 ",0,69.16,3.506,223.4442513,6.573,
2,"26, Oct, 12","Friday, 26 October 2012"," $1,834,458 ",0,69.79,3.506,223.0783366,6.17,
3,"26, Oct, 12","Friday, 26 October 2012"," $405,433 ",0,74.66,3.506,226.9873637,6.034,
4,"26, Oct, 12","Friday, 26 October 2012"," $2,149,594 ",0,63.64,3.514,131.1930968,3.879,
5,"26, Oct, 12","Friday, 26 October 2012"," $319,551 ",0,71.7,3.506,224.0378139,5.422,
6,"26, Oct, 12","Friday, 26 October 2012"," $1,431,426 ",0,72.34,3.506,225.0686254,5.329,
7,"26, Oct, 12","Friday, 26 October 2012"," $495,543 ",0,42.53,3.686,199.2195317,7.557,
8,"26, Oct, 12","Friday, 26 October 2012"," $891,671 ",0,64.74,3.506,227.0369359,5.124,
9,"26, Oct, 12","Friday, 26 October 2012"," $549,731 ",0,69.52,3.506,227.2328068,4.954,
10,"26, Oct, 12","Friday, 26 October 2012"," $1,744,349 ",0,70.5,4.301,131.1930968,6.943,
11,"26, Oct, 12","Friday, 26 October 2012"," $1,200,729 ",0,74.26,3.506,226.9873637,6.034,
12,"26, Oct, 12","Friday, 26 October 2012"," $974,698 ",0,65.95,4.301,131.1930968,10.199,
13,"26, Oct, 12","Friday, 26 October 2012"," $2,035,190 ",0,46.97,3.755,131.1930968,5.621,
14,"26, Oct, 12","Friday, 26 October 2012"," $1,704,358 ",0,58.85,3.882,192.3088989,8.667,
15,"26, Oct, 12","Friday, 26 October 2012"," $558,474 ",0,55.75,4.071,138.7281613,7.992,
16,"26, Oct, 12","Friday, 26 October 2012"," $475,770 ",0,40.99,3.686,199.2195317,5.847,
17,"26, Oct, 12","Friday, 26 October 2012"," $943,465 ",0,39.94,3.755,131.1930968,5.527,
18,"26, Oct, 12","Friday, 26 October 2012"," $1,127,516 ",0,56.09,3.917,138.7281613,8.243,
19,"26, Oct, 12","Friday, 26 October 2012"," $1,322,118 ",0,56.49,4.071,138.7281613,7.992,
20,"26, Oct, 12","Friday, 26 October 2012"," $2,031,651 ",0,60.04,3.882,216.1515902,7.293,
21,"26, Oct, 12","Friday, 26 October 2012"," $675,203 ",0,70.5,3.506,223.0783366,6.17,
22,"26, Oct, 12","Friday, 26 October 2012"," $1,094,423 ",0,57.58,3.917,142.7624113,7.543,
23,"26, Oct, 12","Friday, 26 October 2012"," $1,347,455 ",0,50.56,3.917,138.7281613,4.145,
24,"26, Oct, 12","Friday, 26 October 2012"," $1,307,182 ",0,55.16,4.071,138.7281613,8.693,
25,"26, Oct, 12","Friday, 26 October 2012"," $688,941 ",0,56.69,3.882,216.1515902,7.293,
26,"26, Oct, 12","Friday, 26 October 2012"," $958,620 ",0,46.95,3.917,138.7281613,7.138,
27,"26, Oct, 12","Friday, 26 October 2012"," $1,703,048 ",0,58.99,4.071,142.7624113,8,
28,"26, Oct, 12","Friday, 26 October 2012"," $1,213,861 ",0,65.95,4.301,131.1930968,10.199,
29,"26, Oct, 12","Friday, 26 October 2012"," $534,971 ",0,57.58,3.917,138.7281613,9.151,
30,"26, Oct, 12","Friday, 26 October 2012"," $439,425 ",0,70.5,3.506,223.0783366,6.17,
31,"26, Oct, 12","Friday, 26 October 2012"," $1,340,233 ",0,70.5,3.506,223.0783366,6.17,
32,"26, Oct, 12","Friday, 26 October 2012"," $1,219,979 ",0,47.22,3.686,199.2195317,7.557,
33,"26, Oct, 12","Friday, 26 October 2012"," $253,731 ",0,73.7,4.301,131.1930968,6.895,
34,"26, Oct, 12","Friday, 26 October 2012"," $956,988 ",0,57.95,3.514,131.1930968,8.839,
35,"26, Oct, 12","Friday, 26 October 2012"," $865,138 ",0,58.99,3.882,142.7624113,8.665,
36,"26, Oct, 12","Friday, 26 October 2012"," $272,489 ",0,74.39,3.494,222.1136566,6.228,
37,"26, Oct, 12","Friday, 26 October 2012"," $534,738 ",0,74.39,3.506,222.1136566,6.228,
38,"26, Oct, 12","Friday, 26 October 2012"," $417,290 ",0,65.95,4.301,131.1930968,10.199,
39,"26, Oct, 12","Friday, 26 October 2012"," $1,569,502 ",0,72.9,3.506,222.1136566,6.228,
40,"26, Oct, 12","Friday, 26 October 2012"," $921,265 ",0,49.65,3.917,138.7281613,4.145,
41,"26, Oct, 12","Friday, 26 October 2012"," $1,316,543 ",0,41.8,3.686,199.2195317,6.195,
42,"26, Oct, 12","Friday, 26 October 2012"," $514,756 ",0,70.5,4.301,131.1930968,6.943,
43,"26, Oct, 12","Friday, 26 October 2012"," $587,604 ",0,69.17,3.506,214.7415392,8.839,
44,"26, Oct, 12","Friday, 26 October 2012"," $361,067 ",0,46.97,3.755,131.1930968,5.217,
45,"26, Oct, 12","Friday, 26 October 2012"," $760,281 ",0,58.85,3.882,192.3088989,8.667,
1,"19, Oct, 12","Friday, 19 October 2012"," $1,508,069 ",0,67.97,3.594,223.4257233,6.573,
2,"19, Oct, 12","Friday, 19 October 2012"," $1,847,990 ",0,68.08,3.594,223.0598077,6.17,
3,"19, Oct, 12","Friday, 19 October 2012"," $424,513 ",0,73.44,3.594,226.9688442,6.034,
4,"19, Oct, 12","Friday, 19 October 2012"," $2,097,267 ",0,64.46,3.61,131.1499677,3.879,
5,"19, Oct, 12","Friday, 19 October 2012"," $313,358 ",0,69.17,3.594,224.0192873,5.422,
6,"19, Oct, 12","Friday, 19 October 2012"," $1,436,884 ",0,69.68,3.594,225.0501013,5.329,
7,"19, Oct, 12","Friday, 19 October 2012"," $516,425 ",0,43.01,3.75,199.1481963,7.557,
8,"19, Oct, 12","Friday, 19 October 2012"," $900,310 ",0,62.99,3.594,227.0184166,5.124,
9,"19, Oct, 12","Friday, 19 October 2012"," $542,009 ",0,68.01,3.594,227.214288,4.954,
10,"19, Oct, 12","Friday, 19 October 2012"," $1,734,835 ",0,72.71,4.449,131.1499677,6.943,
11,"19, Oct, 12","Friday, 19 October 2012"," $1,232,073 ",0,73.77,3.594,226.9688442,6.034,
12,"19, Oct, 12","Friday, 19 October 2012"," $960,945 ",0,68.66,4.449,131.1499677,10.199,
13,"19, Oct, 12","Friday, 19 October 2012"," $2,018,010 ",0,52.06,3.781,131.1499677,5.621,
14,"19, Oct, 12","Friday, 19 October 2012"," $1,590,275 ",0,56.47,3.969,192.3308542,8.667,
15,"19, Oct, 12","Friday, 19 October 2012"," $555,653 ",0,52.89,4.153,138.8336129,7.992,
16,"19, Oct, 12","Friday, 19 October 2012"," $577,199 ",0,40.59,3.75,199.1481963,5.847,
17,"19, Oct, 12","Friday, 19 October 2012"," $957,357 ",0,48.16,3.781,131.1499677,5.527,
18,"19, Oct, 12","Friday, 19 October 2012"," $1,048,707 ",0,51.96,4,138.8336129,8.243,
19,"19, Oct, 12","Friday, 19 October 2012"," $1,321,102 ",0,53.44,4.153,138.8336129,7.992,
20,"19, Oct, 12","Friday, 19 October 2012"," $1,999,363 ",0,56.26,3.969,216.1464699,7.293,
21,"19, Oct, 12","Friday, 19 October 2012"," $641,368 ",0,68.52,3.594,223.0598077,6.17,
22,"19, Oct, 12","Friday, 19 October 2012"," $978,028 ",0,55.28,4,142.8633629,7.543,
23,"19, Oct, 12","Friday, 19 October 2012"," $1,363,156 ",0,47.89,4,138.8336129,4.145,
24,"19, Oct, 12","Friday, 19 October 2012"," $1,255,415 ",0,52.59,4.153,138.8336129,8.693,
25,"19, Oct, 12","Friday, 19 October 2012"," $685,532 ",0,51.93,3.969,216.1464699,7.293,
26,"19, Oct, 12","Friday, 19 October 2012"," $975,578 ",0,43.51,4,138.8336129,7.138,
27,"19, Oct, 12","Friday, 19 October 2012"," $1,620,374 ",0,56.53,4.153,142.8633629,8,
28,"19, Oct, 12","Friday, 19 October 2012"," $1,143,724 ",0,68.66,4.449,131.1499677,10.199,
29,"19, Oct, 12","Friday, 19 October 2012"," $516,909 ",0,55.28,4,138.8336129,9.151,
30,"19, Oct, 12","Friday, 19 October 2012"," $437,537 ",0,68.52,3.594,223.0598077,6.17,
31,"19, Oct, 12","Friday, 19 October 2012"," $1,378,730 ",0,68.52,3.594,223.0598077,6.17,
32,"19, Oct, 12","Friday, 19 October 2012"," $1,199,292 ",0,53.57,3.75,199.1481963,7.557,
33,"19, Oct, 12","Friday, 19 October 2012"," $254,412 ",0,75.55,4.449,131.1499677,6.895,
34,"19, Oct, 12","Friday, 19 October 2012"," $963,516 ",0,58.47,3.61,131.1499677,8.839,
35,"19, Oct, 12","Friday, 19 October 2012"," $829,285 ",0,56.53,3.969,142.8633629,8.665,
36,"19, Oct, 12","Friday, 19 October 2012"," $287,360 ",0,74.06,3.57,222.0951719,6.228,
37,"19, Oct, 12","Friday, 19 October 2012"," $551,969 ",0,74.06,3.594,222.0951719,6.228,
38,"19, Oct, 12","Friday, 19 October 2012"," $428,806 ",0,68.66,4.449,131.1499677,10.199,
39,"19, Oct, 12","Friday, 19 October 2012"," $1,577,486 ",0,71.45,3.594,222.0951719,6.228,
40,"19, Oct, 12","Friday, 19 October 2012"," $918,171 ",0,46.33,4,138.8336129,4.145,
41,"19, Oct, 12","Friday, 19 October 2012"," $1,326,197 ",0,49.56,3.75,199.1481963,6.195,
42,"19, Oct, 12","Friday, 19 October 2012"," $541,407 ",0,72.71,4.449,131.1499677,6.943,
43,"19, Oct, 12","Friday, 19 October 2012"," $623,919 ",0,71.25,3.594,214.7212488,8.839,
44,"19, Oct, 12","Friday, 19 October 2012"," $323,767 ",0,52.06,3.781,131.1499677,5.217,
45,"19, Oct, 12","Friday, 19 October 2012"," $718,126 ",0,56.47,3.969,192.3308542,8.667,
1,"12, Oct, 12","Friday, 12 October 2012"," $1,573,073 ",0,62.99,3.601,223.3812965,6.573,
2,"12, Oct, 12","Friday, 12 October 2012"," $1,900,745 ",0,60.97,3.601,223.0154263,6.17,
3,"12, Oct, 12","Friday, 12 October 2012"," $410,804 ",0,70.31,3.601,226.9239785,6.034,
4,"12, Oct, 12","Friday, 12 October 2012"," $2,133,026 ",0,57.11,3.603,131.1083333,3.879,
5,"12, Oct, 12","Friday, 12 October 2012"," $325,345 ",0,66.24,3.601,223.974787,5.422,
6,"12, Oct, 12","Friday, 12 October 2012"," $1,459,397 ",0,65.43,3.601,225.0054733,5.329,
7,"12, Oct, 12","Friday, 12 October 2012"," $503,464 ",0,41.43,3.76,199.0539368,7.557,
8,"12, Oct, 12","Friday, 12 October 2012"," $927,512 ",0,55.03,3.601,226.9735448,5.124,
9,"12, Oct, 12","Friday, 12 October 2012"," $558,465 ",0,60.09,3.601,227.1693919,4.954,
10,"12, Oct, 12","Friday, 12 October 2012"," $1,713,889 ",0,76.03,4.468,131.1083333,6.943,
11,"12, Oct, 12","Friday, 12 October 2012"," $1,311,965 ",0,69.94,3.601,226.9239785,6.034,
12,"12, Oct, 12","Friday, 12 October 2012"," $934,917 ",0,71.74,4.468,131.1083333,10.199,
13,"12, Oct, 12","Friday, 12 October 2012"," $1,999,079 ",0,55.1,3.797,131.1083333,5.621,
14,"12, Oct, 12","Friday, 12 October 2012"," $1,639,586 ",0,54.47,4,192.3272654,8.667,
15,"12, Oct, 12","Friday, 12 October 2012"," $551,800 ",0,49.12,4.186,138.9117,7.992,
16,"12, Oct, 12","Friday, 12 October 2012"," $491,817 ",0,43.26,3.76,199.0539368,5.847,
17,"12, Oct, 12","Friday, 12 October 2012"," $919,878 ",0,44.82,3.797,131.1083333,5.527,
18,"12, Oct, 12","Friday, 12 October 2012"," $1,074,079 ",0,50.97,4.029,138.9117,8.243,
19,"12, Oct, 12","Friday, 12 October 2012"," $1,352,810 ",0,48.29,4.186,138.9117,7.992,
20,"12, Oct, 12","Friday, 12 October 2012"," $2,162,951 ",0,47.2,4,216.1150568,7.293,
21,"12, Oct, 12","Friday, 12 October 2012"," $653,043 ",0,61.53,3.601,223.0154263,6.17,
22,"12, Oct, 12","Friday, 12 October 2012"," $1,004,040 ",0,54.18,4.029,142.9376167,7.543,
23,"12, Oct, 12","Friday, 12 October 2012"," $1,412,925 ",0,48.1,4.029,138.9117,4.145,
24,"12, Oct, 12","Friday, 12 October 2012"," $1,416,301 ",0,51.64,4.186,138.9117,8.693,
25,"12, Oct, 12","Friday, 12 October 2012"," $697,317 ",0,43.74,4,216.1150568,7.293,
26,"12, Oct, 12","Friday, 12 October 2012"," $1,044,640 ",0,45.19,4.029,138.9117,7.138,
27,"12, Oct, 12","Friday, 12 October 2012"," $1,660,081 ",0,55.4,4.186,142.9376167,8,
28,"12, Oct, 12","Friday, 12 October 2012"," $1,205,537 ",0,71.74,4.468,131.1083333,10.199,
29,"12, Oct, 12","Friday, 12 October 2012"," $513,737 ",0,54.18,4.029,138.9117,9.151,
30,"12, Oct, 12","Friday, 12 October 2012"," $434,593 ",0,61.53,3.601,223.0154263,6.17,
31,"12, Oct, 12","Friday, 12 October 2012"," $1,401,113 ",0,61.53,3.601,223.0154263,6.17,
32,"12, Oct, 12","Friday, 12 October 2012"," $1,176,681 ",0,43.49,3.76,199.0539368,7.557,
33,"12, Oct, 12","Friday, 12 October 2012"," $291,781 ",0,79.64,4.468,131.1083333,6.895,
34,"12, Oct, 12","Friday, 12 October 2012"," $948,613 ",0,59.94,3.603,131.1083333,8.839,
35,"12, Oct, 12","Friday, 12 October 2012"," $873,643 ",0,55.4,4,142.9376167,8.665,
36,"12, Oct, 12","Friday, 12 October 2012"," $300,237 ",0,71.28,3.576,222.0510793,6.228,
37,"12, Oct, 12","Friday, 12 October 2012"," $521,811 ",0,71.28,3.601,222.0510793,6.228,
38,"12, Oct, 12","Friday, 12 October 2012"," $437,321 ",0,71.74,4.468,131.1083333,10.199,
39,"12, Oct, 12","Friday, 12 October 2012"," $1,494,417 ",0,69.88,3.601,222.0510793,6.228,
40,"12, Oct, 12","Friday, 12 October 2012"," $982,523 ",0,47.35,4.029,138.9117,4.145,
41,"12, Oct, 12","Friday, 12 October 2012"," $1,409,545 ",0,39.38,3.76,199.0539368,6.195,
42,"12, Oct, 12","Friday, 12 October 2012"," $612,380 ",0,76.03,4.468,131.1083333,6.943,
43,"12, Oct, 12","Friday, 12 October 2012"," $619,370 ",0,71.14,3.601,214.6772833,8.839,
44,"12, Oct, 12","Friday, 12 October 2012"," $337,796 ",0,55.1,3.797,131.1083333,5.217,
45,"12, Oct, 12","Friday, 12 October 2012"," $734,464 ",0,54.47,4,192.3272654,8.667,
1,"05, Oct, 12","Friday, 5 October 2012"," $1,670,786 ",0,68.55,3.617,223.1814772,6.573,
2,"05, Oct, 12","Friday, 5 October 2012"," $1,998,321 ",0,70.27,3.617,222.8159296,6.17,
3,"05, Oct, 12","Friday, 5 October 2012"," $443,558 ",0,72.74,3.617,226.7210356,6.034,
4,"05, Oct, 12","Friday, 5 October 2012"," $2,209,835 ",0,63.07,3.62,131.0756667,3.879,
5,"05, Oct, 12","Friday, 5 October 2012"," $343,048 ",0,71.17,3.617,223.7744444,5.422,
6,"05, Oct, 12","Friday, 5 October 2012"," $1,518,178 ",0,70.84,3.617,224.804222,5.329,
7,"05, Oct, 12","Friday, 5 October 2012"," $505,831 ",0,48.43,3.779,198.8221322,7.557,
8,"05, Oct, 12","Friday, 5 October 2012"," $976,436 ",0,61.41,3.617,226.7705581,5.124,
9,"05, Oct, 12","Friday, 5 October 2012"," $606,755 ",0,66.61,3.617,226.9662325,4.954,
10,"05, Oct, 12","Friday, 5 October 2012"," $1,758,971 ",0,80.88,4.132,131.0756667,6.943,
11,"05, Oct, 12","Friday, 5 October 2012"," $1,422,794 ",0,73.37,3.617,226.7210356,6.034,
12,"05, Oct, 12","Friday, 5 October 2012"," $979,826 ",0,81.61,3.966,131.0756667,10.199,
13,"05, Oct, 12","Friday, 5 October 2012"," $2,041,919 ",0,61.79,3.815,131.0756667,5.621,
14,"05, Oct, 12","Friday, 5 October 2012"," $1,687,592 ",0,64.89,3.985,192.1704115,8.667,
15,"05, Oct, 12","Friday, 5 October 2012"," $573,499 ",0,59.57,4.151,138.8256,7.992,
16,"05, Oct, 12","Friday, 5 October 2012"," $471,282 ",0,50.46,3.779,198.8221322,5.847,
17,"05, Oct, 12","Friday, 5 October 2012"," $952,609 ",0,52.81,3.815,131.0756667,5.527,
